   0,    0,    0
   0,   28,  612
   0,   32,  684
   0,   16,  736
   0,   72,  784
   0,   88,  904
  24,   80,  912
   4,  108,  964
   0,  120, 1000
  36,  120, 1000
  12,  148, 1000
  24,  164, 1000
   8,  160, 1000
   4,  172, 1000
   0,  184, 1000
   0,  184, 1000
   0,  204, 1000
  20,  228, 1000
  28,  216, 1000
  16,  232, 1000
   0,  244, 1000
  32,  244, 1000
  32,  248, 1000
   0,  244, 1000
   0,  252, 1000
  20,  252, 1000
   4,  256, 1000
   4,  260, 1000
   0,  272, 1000
   8,  300, 1000
  12,  288, 1000
  16,  300, 1000
  16,  300, 1000
  24,  300, 1000
  40,  320, 1000
   0,  320, 1000
  28,  320, 1000
  24,  316, 1000
  20,  340, 1000
  20,  344, 1000
  24,  348, 1000
   0,  364, 1000
   0,  372, 1000
   0,  364, 1000
  40,  360, 1000
  32,  360,  992
  40,  400, 1000
  20,  388, 1000
  24,  400, 1000
  32,  416, 1000
  48,  432, 1000
  36,  428,  996
  36,  424,  956
  28,  428,  924
  24,  456,  988
  52,  468,  964
  44,  472,  932
  44,  488,  920
  48,  500,  936
  32,  508,  920
  60,  524,  932
  44,  480,  828
  40,  520,  832
  60,  548,  856
  48,  560,  836
  52,  548,  824
  64,  576,  808
  64,  592,  816
  56,  564,  804
  56,  564,  768
  48,  608,  740
  60,  608,  752
  80,  636,  824
  64,  616,  764
  60,  636,  764
  60,  632,  756
  60,  608,  736
  76,  596,  716
  64,  632,  696
  68,  664,  712
  72,  660,  708
  76,  656,  700
  68,  664,  688
  92,  708,  720
  76,  652,  652
  80,  668,  644
  92,  672,  652
  80,  704,  648
  72,  708,  664
  84,  720,  644
  80,  732,  632
  76,  668,  624
  92,  740,  592
 100,  812,  660
  88,  780,  624
  88,  772,  608
 100,  776,  604
  88,  752,  576
  92,  732,  580
  84,  804,  524
  84,  788,  564
  76,  836,  576
  88,  836,  572
 104,  844,  604
  88,  780,  560
  92,  804,  524
 104,  876,  532
  84,  864,  528
 112,  880,  532
