   0,    0,    0
  16,   68,  784
   0,   64,  800
   4,   92,  860
  28,  100,  936
  16,  120, 1000
   0,  140,  984
   4,  164, 1000
  36,  176, 1000
  20,  204, 1000
  16,  224, 1000
  36,  244, 1000
  24,  264, 1000
  16,  288, 1000
  32,  308, 1000
   8,  332, 1000
  32,  360, 1000
  20,  388, 1000
  44,  404,  992
   8,  432,  972
  20,  464,  960
  40,  488,  948
  40,  524,  900
  40,  532,  880
  56,  552,  864
  40,  576,  844
  44,  588,  820
  68,  620,  796
  52,  584,  700
  40,  584,  732
  12,  584,  748
  28,  596,  752
  28,  588,  744
  56,  604,  740
  36,  624,  732
  40,  616,  748
  52,  664,  792
  52,  624,  708
  36,  640,  688
  40,  604,  664
  28,  600,  688
  44,  616,  700
  36,  612,  704
  28,  632,  696
  48,  632,  700
  36,  656,  676
  44,  692,  720
  48,  660,  652
  36,  656,  628
  40,  624,  596
  20,  628,  620
  16,  636,  628
  52,  672,  640
  28,  656,  616
  36,  676,  624
  36,  664,  616
  28,  688,  620
  40,  636,  564
  36,  648,  572
  16,  664,  572
  56,  696,  588
  44,  676,  552
  56,  708,  576
  68,  716,  576
  96,  752,  616
  88,  676,  544
  68,  700,  544
  76,  676,  540
  80,  712,  552
  72,  716,  536
  92,  724,  552
  84,  728,  572
  76,  708,  560
  92,  680,  564
  76,  688,  536
  80,  700,  548
  76,  708,  568
 100,  728,  568
  96,  720,  552
  92,  708,  568
 120,  736,  600
 116,  692,  536
 120,  708,  576
 136,  720,  572
 132,  724,  576
 144,  724,  584
 148,  752,  584
 164,  732,  576
 168,  740,  596
 144,  708,  544
 148,  752,  564
 148,  756,  556
 164,  768,  552
 156,  764,  544
 156,  772,  544
 172,  792,  588
 160,  728,  532
 160,  752,  536
 160,  760,  552
 168,  776,  548
 168,  776,  548
 192,  784,  556
 192,  820,  576
 196,  740,  528
 192,  752,  512
 180,  792,  532
 200,  796,  528
 172,  792,  532
 164,  784,  512
 164,  756,  516
 164,  780,  500
 156,  792,  504
 164,  816,  504
 156,  796,  496
 188,  792,  484
 188,  796,  452
 188,  832,  456
 188,  848,  440
 184,  848,  420
 184,  848,  412
 176,  828,  384
 172,  884,  388
 188,  900,  364
 188,  904,  368
 184,  900,  340
 184,  852,  324
 204,  908,  320
 204,  928,  320
 204,  936,  296
 216,  912,  300
 216,  884,  284
 236,  924,  280
 240,  920,  276
 236,  960,  268
 232,  880,  248
 248, 1000,  260
 236,  964,  224
 244,  968,  232
 236,  964,  224
 240,  956,  208
 252,  968,  208
 256,  968,  204
 264,  988,  204
 260,  900,  200
 276,  952,  188
 288,  968,  192
 296,  956,  196
 296,  912,  188
 292,  928,  180
 300,  936,  184
 292,  952,  176
 292,  944,  156
 280,  912,  156
 280,  928,  148
 280,  956,  144
 276,  924,  140
 256,  884,  116
 272,  972,  116
 272,  956,  116
 260,  960,  116
 248,  892,  116
 252,  980,  112
 248,  964,  116
 244,  992,  116
 240,  908,  116
 236, 1000,  112
 240,  988,  112
 236,  988,  116
 240,  996,  116
 224,  920,  116
 224, 1000,  136
 208, 1000,  140
 200, 1000,  120
 196,  924,  124
 168, 1000,  136
 180, 1000,  144
 156, 1000,  148
 156, 1000,  148
 152,  968,  164
 140, 1000,  180
 132, 1000,  196
 132, 1000,  204
 128,  940,  204
 124, 1000,  208
 120,  992,  208
 116,  980,  216
 112,  900,  212
 120,  964,  224
 112, 1000,  240
 112,  996,  248
 108,  952,  248
  76,  896,  232
  96,  960,  244
  76,  964,  244
  68, 1000,  244
  76,  860,  232
  80,  912,  260
  88,  944,  276
  88,  960,  284
  88,  852,  280
  92,  904,  296
 100,  948,  312
  96,  952,  316
 104,  876,  316
 108,  908,  316
 140,  928,  356
 128,  916,  356
 148,  916,  372
 152,  852,  348
 160,  912,  380
 176,  924,  388
 176,  908,  368
 180,  860,  372
 180,  920,  360
 192,  928,  364
 204,  932,  368
 212,  904,  368
 236,  896,  360
 240,  936,  368
 252,  944,  368
 256,  932,  356
 256,  876,  336
 264,  948,  344
 264,  952,  340
 272,  948,  336
 276,  916,  328
 276,  936,  316
 284,  948,  320
 288,  948,  316
 288,  936,  296
 280,  900,  288
 288,  964,  296
 288,  944,  272
 304, 1000,  292
 300,  968,  284
 264,  960,  252
 268, 1000,  256
 272,  996,  232
 276,  996,  244
 248,  908,  236
 276,  968,  236
 272,  976,  236
 268,  996,  232
 268,  912,  216
 272,  964,  220
 284,  948,  228
 284,  960,  228
 288,  924,  232
 276,  920,  224
 284,  940,  228
 288,  928,  232
 284,  936,  228
 260,  884,  228
 280,  936,  224
 264,  964,  228
 272,  936,  216
 264,  884,  224
 280,  972,  224
 284,  952,  232
 284,  944,  228
 276,  896,  236
 272,  940,  232
 276,  968,  240
 268,  960,  236
 252,  932,  240
 248,  904,  236
 264,  964,  228
 248,  964,  236
 240,  952,  228
 240,  904,  228
 236,  944,  224
 240,  952,  228
 236,  964,  224
 232,  872,  240
 216,  952,  228
 216,  952,  244
 212,  968,  240
 196,  916,  240
 192,  916,  236
 200,  968,  240
 192,  920,  236
 192,  952,  240
 188,  900,  236
 176,  908,  244
 192,  960,  260
 176,  932,  264
 164,  856,  260
 164,  928,  264
 164,  944,  272
 160,  912,  284
 164,  912,  284
 164,  928,  288
 160,  924,  296
 156,  928,  300
 164,  856,  304
 140,  900,  292
 140,  908,  292
 136,  916,  284
 132,  952,  304
 128,  876,  280
 132,  956,  304
 136,  892,  292
 132,  892,  304
 132,  840,  288
 140,  896,  320
 144,  896,  328
 140,  900,  332
 144,  836,  332
 144,  904,  336
 144,  900,  340
 176,  912,  336
 144,  828,  324
 144,  936,  296
 144,  900,  292
 160,  924,  304
 140,  888,  284
 136,  916,  264
 140,  952,  272
 140,  952,  260
 144,  920,  248
 140,  920,  224
 148,  972,  228
 152,  960,  228
 152,  956,  220
 152,  928,  200
 164,  984,  208
 188,  984,  200
 192,  976,  204
 200,  900,  188
 212,  972,  204
 228,  988,  216
 236,  984,  200
 228,  920,  192
 228,  976,  196
 224,  988,  192
 228,  992,  192
 244,  984,  192
 236,  948,  184
 240, 1000,  184
 244,  988,  192
 264, 1000,  192
 256,  904,  204
 272,  980,  200
 276, 1000,  200
 272,  988,  200
 260,  920,  208
 272,  972,  196
 272,  992,  200
 256,  996,  200
 264,  956,  208
 256,  948,  200
 256, 1000,  204
 260, 1000,  224
 252,  980,  220
 244,  952,  208
 244, 1000,  232
 244, 1000,  232
 244, 1000,  232
 240,  928,  248
 248, 1000,  260
 248, 1000,  292
 240,  904,  324
 236, 1000,  400
 244, 1000,  516
 232, 1000,  648
 236, 1000,  924
 232, 1000, 1000
 236, 1000, 1000
 252, 1000, 1000
 256, 1000, 1000
 260, 1000, 1000
 256, 1000, 1000
 264, 1000, 1000
 256, 1000, 1000
 248,  808, 1000
 216,  536, 1000
 180,  360,  672
 152,  220,  432
  96,  144,  272
  48,   72,  168
  12,   40,  100
  20,   20,   60
   8,   12,   24
   4,    0,   20
  12,    8,    4
   0,    0,    0
   8,    8,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
  20,    4,   12
   0,    0,    0
   4,    8,    0
   8,   12,    4
  32,   12,   24
  20,   20,   12
  28,   16,   20
   0,   28,    0
  16,   16,    8
  12,   12,    4
   0,    4,    0
   8,    4,    0
   4,    4,    0
   0,   12,    0
   0,    0,    0
  12,    8,    4
   0,    0,    0
   4,    8,    0
   8,    8,    0
   8,   12,    0
   8,    8,    0
   8,    8,    0
  16,    0,    8
   4,    4,    0
   8,    8,    0
   4,    4,    0
  24,    4,   16
   0,    0,    0
   0,    0,    0
   0,    0,    0
   4,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   4,    4,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   4,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   4,    4,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   4,    4,    0
   0,    0,    0
   0,    0,    0
   4,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    0
   0,    0,    8
   0,    0,    0
   4,    4,    0
   0,    0,    0
  16,    0,    8
   0,    0,   24
   0,    0,    0
   0,    0,   24
   0,    0,    8
   0,    0,   24
   0,    0,   12
   0,    0,   12
   0,    0,   36
   0,    0,   48
   0,    0,   52
   0,    4,   60
   4,    0,   80
   0,    0,   88
   0,    0,   92
   0,    0,  112
   0,    0,  132
   0,    0,  156
   0,    8,  184
   0,    8,  216
  16,   40,  280
   0,   12,  288
   0,   20,  336
  12,   36,  368
   0,   24,  412
   0,   24,  448
   0,   44,  484
   8,   32,  520
  28,   56,  556
   0,   52,  584
  20,   44,  628
  12,   76,  676
  32,   84,  704
   0,   92,  748
   4,   92,  768
  12,  100,  808
   4,  100,  848
   4,   96,  872
  24,  124,  916
  20,  132,  956
  28,  116,  976
  32,  132,  984
   0,  148, 1000
  20,  152, 1000
  12,  164, 1000
  48,  180, 1000
  20,  192, 1000
   0,  224, 1000
   4,  224, 1000
  24,  244, 1000
   4,  264, 1000
  16,  292, 1000
  12,  304, 1000
  48,  328, 1000
  28,  356, 1000
  28,  384, 1000
  24,  412, 1000
  52,  464, 1000
  48,  468, 1000
  52,  492,  940
  56,  524,  932
  56,  560,  896
  64,  588,  836
  64,  636,  804
  80,  688,  732
  88,  736,  716
 112,  780,  672
 128,  852,  640
 120,  828,  552
 156,  840,  532
 156,  840,  504
 156,  884,  488
 180,  904,  476
 168,  912,  452
 176,  912,  452
 188,  920,  428
 188,  952,  412
 204,  988,  440
 212,  984,  392
 216,  976,  376
 220,  976,  352
 228,  988,  348
 252,  984,  336
 280,  984,  324
 300,  968,  308
 324,  980,  288
 336,  976,  264
 352,  976,  236
 380,  976,  204
 396,  968,  196
 428,  964,  192
 456,  928,  164
 488,  904,  172
 516,  872,  172
 552,  844,  144
 572,  824,  140
 592,  796,  144
 612,  776,  144
 648,  748,  136
 672,  736,  128
 672,  724,  120
 676,  700,  108
 700,  684,  104
 696,  680,  100
 708,  660,   96
 740,  656,   96
 736,  660,   96
 732,  648,  104
 748,  640,  100
 724,  636,  100
 732,  640,  100
 720,  648,   92
 724,  648,   88
 712,  656,   80
 712,  696,   80
 688,  696,   76
 668,  708,   76
 640,  724,   80
 596,  752,   80
 576,  784,   84
 564,  804,   96
 536,  816,   96
 496,  856,  100
 480,  868,   96
 436,  892,   92
 408,  896,   88
 360,  908,  116
 324,  924,  104
 284,  944,  132
 252,  956,  128
 228,  980,  152
 208, 1000,  176
 200, 1000,  188
 188,  980,  200
 168,  968,  216
 156,  956,  232
 156,  964,  240
 132,  936,  244
 132,  928,  272
 100,  948,  284
 104,  924,  300
 108,  916,  324
 116,  888,  312
 116,  876,  340
 124,  876,  368
 136,  864,  384
 108,  860,  396
 112,  852,  392
 112,  848,  412
 112,  832,  384
 104,  844,  396
 100,  856,  384
  96,  852,  400
 100,  852,  384
 100,  852,  388
 100,  864,  396
 120,  888,  388
 124,  888,  388
 128,  876,  376
 132,  880,  380
 128,  900,  376
 152,  932,  368
 152,  964,  352
 156,  980,  344
 160,  976,  336
 168,  988,  324
 188, 1000,  312
 200, 1000,  312
 220, 1000,  300
 228, 1000,  288
 244, 1000,  280
 260, 1000,  272
 276, 1000,  264
 272, 1000,  236
 268, 1000,  232
 280, 1000,  220
 284, 1000,  212
 288, 1000,  188
 296, 1000,  192
 312,  988,  188
 320,  976,  184
 328,  976,  188
 340,  964,  188
 352,  960,  184
 360,  944,  184
 360,  932,  164
 356,  948,  160
 348,  932,  152
 332,  932,  160
 344,  916,  160
 332,  928,  160
 332,  928,  160
 328,  940,  160
 324,  940,  160
 316,  940,  156
 308,  952,  160
 296,  952,  156
 288,  956,  156
 276,  956,  148
 268,  956,  164
 272,  936,  156
 248,  964,  176
 248,  952,  176
 236,  944,  176
 236,  960,  184
 208,  952,  196
 196,  988,  188
 188,  960,  200
 168,  956,  192
 160,  984,  212
 152,  952,  216
 148,  960,  224
 144,  944,  228
 140,  936,  236
 140,  904,  240
 140,  940,  244
 136,  908,  252
 116,  940,  260
 116,  880,  272
 124,  884,  280
 128,  844,  288
 136,  868,  304
 140,  840,  316
 144,  856,  316
 148,  848,  332
 148,  824,  328
 148,  816,  344
 144,  836,  332
 132,  816,  336
 128,  852,  328
 132,  860,  316
 136,  828,  308
 140,  848,  296
 140,  828,  292
 144,  892,  296
 148,  872,  296
 156,  888,  296
 172,  892,  292
 164,  900,  288
 172,  900,  288
 164,  900,  280
 160,  912,  272
 160,  932,  264
 164,  920,  260
 184,  928,  260
 180,  920,  260
 188,  956,  260
 192,  916,  260
 200,  944,  256
 200,  928,  256
 208,  936,  240
 212,  920,  244
 212,  936,  248
 212,  932,  240
 212,  928,  220
 212,  932,  220
 212,  932,  224
 216,  916,  224
 220,  936,  232
 224,  884,  244
 244,  928,  232
 244,  920,  252
 252,  924,  240
 264,  956,  276
 272,  976,  260
 244,  920,  232
 240,  944,  228
 236,  932,  224
 228,  928,  240
 224,  912,  232
 216,  936,  228
 216,  944,  232
 216,  952,  228
 208,  920,  228
 200,  928,  228
 200,  932,  224
 196,  928,  224
 196,  940,  228
 196,  932,  228
 196,  924,  236
 196,  940,  236
 196,  928,  240
 192,  920,  240
 188,  920,  244
 184,  928,  240
 172,  920,  228
 160,  924,  232
 152,  908,  232
 148,  920,  240
 148,  928,  244
 148,  908,  240
 152,  888,  244
 152,  904,  260
 152,  904,  276
 152,  940,  292
 152,  932,  292
 140,  940,  292
 164,  924,  296
 152,  960,  304
 156,  948,  304
 164,  952,  304
 168,  948,  300
 192,  964,  296
 192,  936,  300
 196,  960,  296
 192,  956,  296
 212,  948,  288
 216,  944,  284
 200,  952,  276
 200,  980,  272
 220,  960,  268
 224, 1000,  272
 224, 1000,  276
 220,  800,  260
 208,  896,  252
 204,  928,  268
 220,  924,  268
 196,  920,  264
 192,  916,  264
 188,  920,  264
 172,  916,  272
 168,  892,  276
 164,  912,  288
 168,  892,  300
 168,  888,  304
 144,  880,  316
 144,  856,  320
 144,  864,  348
 148,  828,  360
 112,  800,  368
 120,  800,  392
 116,  804,  428
 104,  792,  452
 100,  776,  464
  88,  752,  500
  88,  728,  536
  88,  708,  564
  84,  684,  596
  84,  664,  656
  84,  624,  680
  80,  600,  732
  80,  564,  776
  56,  540,  796
  56,  512,  832
  52,  480,  840
  48,  468,  852
  44,  452,  856
  40,  448,  864
  40,  440,  900
  36,  432,  928
  32,  420,  948
  32,  420,  952
  32,  416,  944
  32,  412,  892
