Sensor0, Sensor1, Sensor2, Sensor3, Sensor4
   0,  288, 1000,  196,    0
   0,  280, 1000,  196,    0
   0,  284, 1000,  192,    8
   4,  292, 1000,  192,    0
   4,  296, 1000,  196,    8
   0,  292, 1000,  196,    8
   8,  276, 1000,  200,    0
   0,  280, 1000,  192,    4
   0,  276, 1000,  192,    4
   4,  268, 1000,  184,    0
   0,  272, 1000,  196,    0
   0,  272, 1000,  200,    4
   8,  272, 1000,  200,    0
   8,  276, 1000,  200,    0
   0,  268, 1000,  204,    4
   4,  268, 1000,  208,    8
   0,  268, 1000,  208,    0
   4,  272, 1000,  212,    8
   4,  272, 1000,  220,    0
  12,  272, 1000,  224,    0
   8,  276, 1000,  224,   12
   8,  280, 1000,  232,   16
  16,  288, 1000,  232,    0
  16,  284, 1000,  244,   24
  16,  288, 1000,  248,   24
  20,  284, 1000,  240,    4
  16,  280, 1000,  248,   24
  24,  300, 1000,  264,   32
  16,  272, 1000,  232,   20
  12,  264, 1000,  228,   16
  20,  292, 1000,  256,   28
  12,  276, 1000,  228,   16
  12,  268, 1000,  232,   16
  16,  280, 1000,  220,    4
   8,  288, 1000,  236,   12
  16,  276, 1000,  240,   24
  16,  280, 1000,  220,   20
  16,  272, 1000,  220,   16
  12,  264, 1000,  232,   20
  24,  288, 1000,  236,   28
   0,  272, 1000,  216,   16
  12,  268, 1000,  232,   16
   8,  264, 1000,  232,   16
   0,  260, 1000,  228,    0
   8,  240, 1000,  224,   12
   0,  256, 1000,  216,    0
   4,  248, 1000,  196,    8
   0,  268, 1000,  236,   16
   0,  244, 1000,  216,   12
   0,  248, 1000,  220,   16
   4,  268, 1000,  232,   12
  12,  248, 1000,  232,   16
   0,  248, 1000,  240,   20
   8,  268, 1000,  268,   32
   0,  256, 1000,  248,   24
   0,  240, 1000,  256,    8
   8,  248, 1000,  256,   16
   0,  248, 1000,  260,   24
   0,  224, 1000,  264,    4
   0,  248, 1000,  260,   24
   4,  224, 1000,  264,    8
   0,  240, 1000,  256,   24
   0,  224, 1000,  264,   24
   0,  224, 1000,  228,   20
   0,  224, 1000,  264,   24
   0,  224, 1000,  264,   24
   0,  216, 1000,  252,   24
   0,  216, 1000,  256,   24
   0,  232, 1000,  244,   24
   0,  224, 1000,  264,   24
