Sensor0, Sensor1, Sensor2, Sensor3, Sensor4
   0,  180, 1000,  252,   28
   0,  184, 1000,  268,   28
   0,  176, 1000,  268,   28
   0,  172, 1000,  268,   24
   0,  172, 1000,  252,   24
   0,  152, 1000,  264,    8
   4,  188, 1000,  272,   32
   0,  172, 1000,  272,   24
   0,  172, 1000,  260,   24
   0,  176, 1000,  272,   12
   0,  176, 1000,  280,   28
   0,  180, 1000,  284,   32
   4,  188, 1000,  288,   32
   4,  184, 1000,  288,   32
   0,  192, 1000,  280,   28
   0,  192, 1000,  276,   32
   4,  192, 1000,  276,   12
  20,  196, 1000,  276,   28
  16,  200, 1000,  268,   28
  20,  200, 1000,  264,   32
   8,  220, 1000,  252,   20
   8,  216, 1000,  268,   16
  20,  216, 1000,  272,   32
  24,  228, 1000,  260,   32
  20,  216, 1000,  244,   32
  12,  224, 1000,  256,   20
   8,  216, 1000,  248,   16
  16,  216, 1000,  248,   24
  16,  216, 1000,  220,   24
  16,  212, 1000,  244,   24
  28,  256, 1000,  264,   36
  12,  224, 1000,  228,   20
  20,  224, 1000,  232,   12
  16,  224, 1000,  224,   20
   8,  220, 1000,  208,   20
   4,  216, 1000,  224,   16
   0,  224, 1000,  212,    8
   4,  228, 1000,  236,   12
   8,  240, 1000,  248,    0
  12,  268, 1000,  276,   20
  12,  324, 1000,  320,   20
  20,  408, 1000,  404,   28
  40,  568, 1000,  552,   44
  44,  724, 1000,  672,   32
  64,  984, 1000,  896,   56
 100, 1000, 1000, 1000,   76
 176, 1000, 1000, 1000,  108
 276, 1000, 1000, 1000,  188
 464, 1000, 1000, 1000,  280
 772, 1000, 1000, 1000,  504
1000, 1000, 1000, 1000,  812
1000, 1000, 1000, 1000, 1000
1000, 1000, 1000, 1000, 1000
1000, 1000, 1000, 1000, 1000
1000, 1000, 1000, 1000, 1000
1000, 1000, 1000, 1000, 1000
1000,  840, 1000, 1000, 1000
1000,  628, 1000,  760, 1000
1000,  472, 1000,  568, 1000
 712,  380, 1000,  448,  844
 448,  328, 1000,  368,  544
 300,  312, 1000,  352,  388
 196,  268, 1000,  304,  236
 128,  248, 1000,  280,  152
  80,  232, 1000,  264,   88
  48,  240, 1000,  248,   60
  32,  216, 1000,  244,   44
  36,  232, 1000,  260,   40
  32,  208, 1000,  236,   24
  16,  224, 1000,  232,    8
  28,  212, 1000,  220,   16
  16,  224, 1000,  232,   16
  16,  224, 1000,  232,    8
  24,  220, 1000,  228,   16
  16,  216, 1000,  224,    8
   8,  220, 1000,  224,   20
  12,  212, 1000,  220,   20
  20,  216, 1000,  224,   24
  24,  232, 1000,  240,   32
  28,  224, 1000,  232,   20
  28,  244, 1000,  248,   40
  40,  240, 1000,  248,   32
  32,  236, 1000,  244,   40
  28,  228, 1000,  232,   36
  36,  244, 1000,  244,   44
  20,  224, 1000,  224,   28
  16,  220, 1000,  224,   28
  32,  228, 1000,  224,   36
  28,  232, 1000,  220,   36
  28,  228, 1000,  228,   40
  44,  256, 1000,  248,   52
  28,  240, 1000,  228,   40
  32,  232, 1000,  224,   44
  20,  236, 1000,  212,   32
  24,  228, 1000,  188,   32
  16,  220, 1000,  192,   28
  16,  224, 1000,  180,   28
  28,  244, 1000,  196,   20
  16,  236, 1000,  184,   28
   8,  228, 1000,  188,   16
  20,  224, 1000,  184,   32
  24,  228,  988,  184,   28
  20,  236,  996,  172,   28
  16,  232, 1000,  180,   28
  24,  248, 1000,  204,   20
  12,  228, 1000,  180,   20
   8,  224,  996,  168,   20
   8,  216,  980,  164,   16
   0,  220, 1000,  152,   12
   0,  212, 1000,  160,    8
  12,  228, 1000,  176,   20
  16,  212, 1000,  160,    8
  12,  208, 1000,  148,    4
   0,  204, 1000,  156,    4
   0,  192, 1000,  140,    4
   0,  196, 1000,  148,    0
   0,  180, 1000,  144,    0
  12,  204, 1000,  156,    4
   0,  188, 1000,  140,    0
   0,  188, 1000,  144,    4
   0,  192,  996,  148,    0
   0,  192,  972,  148,    4
   0,  204, 1000,  156,    0
   0,  204,  992,  168,    4
   0,  208, 1000,  172,    8
  20,  236, 1000,  188,   16
   8,  224,  984,  180,   20
   4,  220, 1000,  160,   16
   8,  216, 1000,  176,   16
   0,  212,  992,  160,   12
   4,  204,  992,  164,    0
   0,  208,  964,  160,    0
   0,  196,  980,  160,    8
   4,  200, 1000,  160,    0
   0,  204, 1000,  172,    8
   4,  200, 1000,  164,    8
   4,  200,  996,  176,    8
  16,  224, 1000,  204,   20
  20,  200, 1000,  184,   12
   8,  204, 1000,  192,    0
   8,  208, 1000,  192,   16
   8,  208, 1000,  188,   16
   8,  216,  996,  192,   12
  12,  204, 1000,  180,    4
  20,  220, 1000,  212,   12
   4,  200,  992,  196,   16
   4,  196,  980,  192,    0
   4,  200,  992,  184,   12
   0,  196, 1000,  200,   12
   8,  176,  988,  200,    4
  20,  208, 1000,  212,   12
   0,  196, 1000,  200,   12
   4,  196,  996,  204,    0
   8,  180, 1000,  208,   16
   4,  180,  984,  204,   12
   0,  180,  976,  204,    8
   0,  172,  988,  196,    8
   0,  180,  976,  204,    4
   0,  176, 1000,  204,   12
   8,  188,  988,  192,   16
   4,  180,  976,  204,   16
   8,  172,  984,  200,    0
  20,  188, 1000,  236,   12
   8,  172,  996,  220,   16
   4,  172,  980,  200,   16
   8,  180,  976,  208,   16
   4,  172,  992,  200,   16
   0,  180,  976,  208,    8
  16,  188, 1000,  240,    8
  12,  176,  984,  228,   20
  16,  180,  968,  236,    8
  20,  188,  984,  240,   28
  20,  188,  984,  236,   32
  24,  180,  996,  248,   32
  32,  204, 1000,  272,   44
  24,  188,  968,  244,   32
  20,  184,  976,  252,   16
  24,  184,  980,  256,   28
  20,  180,  996,  256,   32
  20,  184,  976,  260,   32
  24,  188,  968,  260,   16
  24,  192,  984,  260,   32
  24,  196, 1000,  260,   20
  28,  196,  996,  260,   36
  24,  192,  988,  264,   32
  24,  200,  972,  260,   36
  32,  220, 1000,  284,   44
  16,  192,  984,  248,   28
  16,  192,  972,  264,   28
  24,  192,  964,  264,   32
  20,  188,  988,  260,   32
  28,  212, 1000,  272,   40
  16,  188, 1000,  240,   28
  20,  188,  996,  252,   28
  20,  184,  996,  252,   24
  16,  184, 1000,  232,   24
  12,  180,  996,  240,    4
  24,  192, 1000,  256,   20
   8,  172,  984,  232,    0
   4,  180,  996,  232,   12
   4,  172, 1000,  220,   16
   4,  180, 1000,  232,   16
  24,  192, 1000,  248,   16
   8,  180, 1000,  236,   16
   0,  180,  996,  228,    8
   8,  192, 1000,  220,   16
   4,  176,  996,  224,   16
   4,  176, 1000,  224,   16
   0,  180, 1000,  208,    8
   8,  180, 1000,  228,   20
   0,  168, 1000,  220,    0
   0,  176, 1000,  200,    4
   0,  164, 1000,  208,    8
   0,  172, 1000,  200,    8
   4,  192, 1000,  216,   16
   0,  168, 1000,  216,    8
   4,  172, 1000,  220,    0
   0,  184, 1000,  208,    8
   0,  180, 1000,  204,   12
   0,  180, 1000,  208,    8
  16,  204, 1000,  232,    8
   8,  184, 1000,  212,    0
   4,  184, 1000,  212,   12
   8,  188, 1000,  216,   16
   4,  188, 1000,  216,   16
  16,  180, 1000,  208,    8
  24,  212, 1000,  244,   16
   4,  180, 1000,  208,   16
   8,  184, 1000,  208,    0
   8,  176, 1000,  204,   16
   0,  180, 1000,  208,   12
   4,  192, 1000,  196,    0
   4,  212, 1000,  216,   16
   4,  188, 1000,  212,   16
   0,  188, 1000,  212,    0
   8,  184, 1000,  212,   16
   4,  180, 1000,  208,   12
   4,  188, 1000,  216,   12
   4,  180, 1000,  204,   12
   0,  180, 1000,  208,    4
   4,  184, 1000,  188,   12
   4,  176, 1000,  200,   12
   0,  184, 1000,  188,   12
   4,  180, 1000,  208,   16
   0,  180, 1000,  208,    8
   0,  184, 1000,  188,   12
   8,  168, 1000,  192,   16
   4,  176, 1000,  200,   12
   0,  172, 1000,  200,    4
   4,  208, 1000,  212,   12
   0,  180, 1000,  204,   16
   0,  184, 1000,  208,   12
   0,  180, 1000,  208,   20
   0,  184, 1000,  212,   24
   0,  192, 1000,  200,   28
   8,  228, 1000,  236,   36
  12,  192, 1000,  220,   20
   8,  216, 1000,  220,   20
   8,  212, 1000,  216,   36
   4,  220, 1000,  224,   32
   4,  220, 1000,  228,   32
  16,  224, 1000,  228,   44
   4,  216, 1000,  224,   32
   4,  220, 1000,  224,   36
   4,  208, 1000,  212,   32
   4,  216, 1000,  220,   32
   4,  224, 1000,  232,   36
  20,  248, 1000,  260,   48
  24,  232, 1000,  236,   32
  12,  228, 1000,  236,   40
  20,  224, 1000,  232,   24
   8,  220, 1000,  228,   36
   4,  224, 1000,  232,   36
  16,  244, 1000,  232,   44
   0,  220, 1000,  224,   32
   0,  212, 1000,  220,   32
   0,  212, 1000,  196,   28
   0,  204, 1000,  212,   28
   4,  228, 1000,  212,   36
   8,  204, 1000,  204,   20
   4,  208, 1000,  204,   16
   0,  216, 1000,  200,   20
   0,  220, 1000,  208,   28
   0,  216, 1000,  208,   28
   0,  216, 1000,  184,   28
   4,  236, 1000,  212,   36
   0,  220, 1000,  196,   24
   0,  212, 1000,  192,    8
   4,  212, 1000,  184,   16
   0,  208, 1000,  192,   20
   8,  212, 1000,  188,   20
   0,  216, 1000,  172,    4
   0,  216, 1000,  188,   12
   4,  220, 1000,  184,   16
   0,  216, 1000,  180,   12
   8,  220, 1000,  176,   16
   0,  216, 1000,  176,   12
   4,  224,  988,  176,   12
   0,  220, 1000,  176,    8
  20,  240, 1000,  192,   12
   4,  224, 1000,  176,   16
   4,  236, 1000,  184,   16
   8,  240, 1000,  176,   16
   4,  244, 1000,  164,   16
   8,  244, 1000,  172,    0
  12,  252,  992,  180,    4
  20,  264, 1000,  188,   16
   4,  248, 1000,  168,   16
   0,  228, 1000,  168,    8
   0,  236, 1000,  160,   12
   4,  240, 1000,  164,    8
   0,  236, 1000,  164,   12
   0,  244, 1000,  148,   12
  12,  232, 1000,  164,    4
   8,  264, 1000,  180,   16
   0,  244, 1000,  164,   12
   0,  240, 1000,  152,    8
   0,  244,  996,  156,    8
   0,  236, 1000,  156,    4
   0,  244,  988,  136,    8
   8,  244, 1000,  156,    0
  20,  264, 1000,  176,   16
   4,  248, 1000,  168,   12
  12,  248, 1000,  168,    4
   4,  248, 1000,  164,   12
   8,  244,  992,  168,   12
   0,  248, 1000,  160,   12
   8,  240, 1000,  164,    0
  20,  264, 1000,  184,   16
   0,  236, 1000,  164,    8
   4,  236, 1000,  176,   16
   8,  248, 1000,  164,   16
  12,  248, 1000,  172,   24
  16,  248, 1000,  180,   20
  20,  248,  988,  196,   24
  16,  248, 1000,  204,   28
  16,  252, 1000,  204,   28
  28,  272, 1000,  228,   40
  32,  248, 1000,  212,   28
  24,  236, 1000,  216,   16
  20,  236, 1000,  208,   24
  24,  240,  996,  216,   28
  24,  236, 1000,  228,   28
  36,  260, 1000,  248,   40
  28,  240, 1000,  228,   20
  40,  236, 1000,  240,   32
  32,  236, 1000,  244,   12
  24,  240, 1000,  248,   32
  28,  220, 1000,  248,   32
  40,  240, 1000,  272,   40
  32,  204, 1000,  232,   28
  32,  212, 1000,  240,   24
  24,  212, 1000,  240,   28
  24,  200,  996,  248,   28
  24,  204, 1000,  256,   28
  28,  192,  992,  248,   20
  28,  184, 1000,  256,   20
  16,  164, 1000,  252,   20
  12,  160,  988,  236,   16
   8,  148, 1000,  248,    0
  12,  144,  972,  244,    4
  16,  160, 1000,  264,    0
   8,  144, 1000,  256,    4
  20,  160,  996,  260,   16
   8,  148,  976,  264,   20
   8,  152,  984,  252,   20
  20,  160, 1000,  272,   12
   8,  136,  984,  260,   16
   8,  144, 1000,  272,    4
   4,  136, 1000,  272,   12
   0,  128,  960,  276,   12
   8,  128,  996,  280,    0
  24,  144, 1000,  304,   16
   4,  128, 1000,  296,   16
  16,  128,  936,  288,    8
   8,  128,  960,  292,   16
   0,  116,  972,  288,   12
   0,  116,  960,  300,   12
   8,  120,  968,  300,    4
  20,  132, 1000,  324,   12
   4,  112,  936,  304,   12
  20,  108,  948,  320,   12
   8,  120,  920,  332,   20
  12,  128,  936,  332,   20
  12,  124,  916,  332,   20
  12,  124,  916,  336,   20
  24,  140,  964,  364,   32
   8,  116,  916,  332,   16
   4,  112,  912,  340,   12
   8,  116,  912,  324,   16
   4,   92,  884,  332,   16
   8,  116,  920,  340,   16
  12,  100,  928,  344,    4
   4,  112,  912,  328,   12
   0,  128,  916,  340,    8
   0,  116,  968,  320,   12
