   0,    0, 2480
  88,  748, 2384
  84,  588, 2272
 120,  472, 2176
 156,  400, 2112
 200,  360, 2064
 264,  352, 2016
 272,  284, 1984
 292,  236, 1952
 324,  216, 1904
 328,  212, 1904
 352,  192, 1888
 380,  200, 1872
 404,  164, 1840
 424,  180, 1840
 460,  192, 1792
 420,  164, 1824
 436,  180, 1808
 440,  156, 1824
 428,  160, 1840
 428,  164, 1824
 444,  160, 1824
 396,  140, 1824
 404,  148, 1808
 400,  148, 1840
 408,  152, 1824
 396,  148, 1808
 384,  140, 1872
 412,  164, 1840
 388,  180, 1856
 388,  180, 1856
 360,  156, 1872
 340,  172, 1872
 368,  172, 1872
 356,  188, 1888
 372,  200, 1888
 316,  176, 1888
 348,  208, 1888
 316,  184, 1904
 308,  176, 1904
 300,  164, 1904
 308,  184, 1920
 300,  176, 1904
 292,  176, 1920
 292,  184, 1920
 276,  152, 1920
 296,  196, 1920
 268,  180, 1936
 280,  200, 1936
 268,  184, 1936
 284,  228, 1936
 260,  188, 1952
 256,  220, 1952
 252,  212, 1968
 264,  228, 1968
 252,  224, 1984
 244,  224, 1984
 264,  248, 1984
 272,  256, 1984
 248,  260, 2000
 264,  244, 1984
 276,  260, 2000
 268,  252, 1984
 244,  252, 2000
 256,  264, 1984
 280,  292, 2000
 260,  272, 2000
 264,  276, 2000
 264,  276, 2000
 264,  276, 2000
 264,  272, 2000
 268,  304, 2016
 280,  320, 2096
 284,  332, 2096
 292,  352, 2096
 300,  360, 2112
 312,  376, 2112
 300,  376, 2032
 280,  368, 2112
 292,  368, 2096
 292,  356, 2032
 312,  384, 2096
 284,  344, 2080
 308,  348, 2032
 320,  364, 2016
 316,  332, 2032
 320,  332, 2080
 332,  348, 2032
 320,  332, 2064
 308,  352, 2080
 324,  340, 2032
 332,  380, 2080
 308,  352, 2000
 328,  372, 2016
 300,  316, 2080
 320,  332, 2064
 304,  320, 2000
 288,  300, 2016
 276,  288, 2000
 268,  280, 2016
 252,  288, 2016
 252,  288, 2032
 236,  296, 2032
 224,  284, 2032
 232,  312, 2048
 228,  316, 2048
 220,  296, 2048
 208,  300, 2048
 200,  304, 2064
 192,  308, 2080
 180,  304, 2080
 172,  276, 2080
 176,  308, 2080
 180,  316, 2080
 188,  312, 2080
 192,  332, 2080
 172,  288, 2080
 164,  300, 2080
 168,  292, 2080
 184,  316, 2096
 168,  316, 2096
 172,  320, 2096
 172,  308, 2080
 180,  324, 2080
 180,  324, 2080
 188,  308, 2080
 192,  312, 2080
 188,  316, 2080
 220,  352, 2080
 176,  312, 2080
 180,  328, 2080
 176,  320, 2080
 168,  308, 2080
 168,  308, 2080
 172,  308, 2064
 200,  336, 2096
 168,  296, 2096
 168,  296, 2096
 152,  304, 2080
 156,  280, 2080
 152,  276, 2080
 144,  284, 2080
 140,  276, 2080
 124,  264, 2080
 148,  300, 2096
 140,  280, 2080
 156,  316, 2096
 140,  272, 2080
 128,  268, 2096
 120,  268, 2096
 124,  240, 2096
 108,  244, 2096
 112,  244, 2080
 104,  252, 2096
 112,  244, 2080
 120,  252, 2096
 128,  260, 2096
 112,  248, 2096
 100,  228, 2080
  96,  236, 2112
  92,  240, 2096
  96,  240, 2112
 100,  268, 2112
 112,  276, 2112
 108,  288, 2112
 120,  280, 2128
 132,  292, 2112
 116,  312, 2128
